,id,name,alias,rating,review_count,price
0,j1S3NUrkB3BVT49n_e76NQ,Best Bagel & Coffee,best-bagel-and-coffee-new-york,4.5,3305,1.0
1,VrCCr45dhN-RRM107iptdg,Russ & Daughters,russ-and-daughters-new-york,4.5,2210,2.0
2,JV5oa5-KGdiWnqrKPoxSug,Absolute Bagels,absolute-bagels-new-york,4.5,1391,1.0
3,c3eMI4_o4dPDDhPV_ibBYQ,Ess-a-Bagel,ess-a-bagel-new-york,4.0,3581,1.0
4,oi39VAwo4-KGm_gSkWPCsQ,Tompkins Square Bagels - Avenue A,tompkins-square-bagels-avenue-a-new-york,4.0,1091,1.0
5,foO2N-TrdPBO-dFn6M35TA,Brooklyn Bagel & Coffee Company,brooklyn-bagel-and-coffee-company-new-york-8,4.5,112,1.0
6,Gpc2-sPCXlIQUrkfi4bpzw,Court Street Bagels,court-street-bagels-brooklyn,4.0,201,1.0
7,Ys9iYSjuFDpZj7B1X07v5g,Liberty Bagels Midtown,liberty-bagels-midtown-new-york-3,4.5,482,1.0
8,VImctKXnwzT_zrsc1ssvbg,Brooklyn Bagel & Coffee Company,brooklyn-bagel-and-coffee-company-astoria,4.5,677,1.0
9,pb_ryc8FYHpUPV56eV2Eyg,Brooklyn Bagel & Coffee Company,brooklyn-bagel-and-coffee-company-new-york-2,4.0,1429,1.0
10,lQ7H-COT5duZQQ0XqGFPDg,Smith St Bagels,smith-st-bagels-brooklyn,4.0,374,2.0
11,U43uuWwSyH95gXsUhejd4w,La Bagel Delight at Dumbo,la-bagel-delight-at-dumbo-brooklyn,3.5,145,1.0
12,u9zVZH0liQu9skIz1kGrMA,Heaven's Hot Bagel,heavens-hot-bagel-new-york,4.0,199,1.0
13,2D7orDrXzflLL1TRmWGPMw,Utopia Bagels,utopia-bagels-whitestone-2,4.5,575,1.0
14,GLf8_rOnkszkGmPAiMzO9Q,Bread & Spread,bread-and-spread-dumbo,4.5,144,2.0
15,bb4TLfMexv3XPy864A09ug,H&H Bagels,h-and-h-bagels-new-york-6,4.0,786,1.0
16,SCornvTSCMQ2SvWGq8Z_Mw,Ess-A-Bagel,ess-a-bagel-new-york-5,4.0,855,1.0
17,7eNqRj9iCdxcORVTxexvuw,Greenberg’s Bagels,greenberg-s-bagels-brooklyn,4.5,6,
18,P91q647NhgyIf7nLc4wYsQ,Frankel's Delicatessen,frankels-delicatessen-brooklyn,4.0,244,2.0
19,BIFbVuIDJFS_2u_8vJxnwA,Tompkins Square Bagels -  2nd Ave,tompkins-square-bagels-2nd-ave-new-york,4.0,216,1.0
20,7HP9pH30Ha7xJsxsdVJBrg,Bagelsmith,bagelsmith-brooklyn,3.5,500,1.0
21,PIn-UUN953k8K9_Hffef6w,Cranberry's,cranberrys-brooklyn,4.0,131,1.0
22,PiAU4BCl5d9P-NWDvkNY4A,Bergen Bagels,bergen-bagels-brooklyn-2,4.0,369,1.0
23,s-Fg5eHqv4VCAn2ANkHiZA,Leo's Bagels,leos-bagels-new-york,3.5,867,1.0
24,tJWQnagxMYkFZXKrdiO3gg,Bagel Hole,bagel-hole-brooklyn-3,3.5,263,1.0
25,64i-2H8rLLs55RP89Ole4A,Bagel Pub,bagel-pub-brooklyn,4.0,457,1.0
26,0rQz8mkleT62eUkiAVs4UA,Russ & Daughters Cafe,russ-and-daughters-cafe-new-york-5,4.0,1001,2.0
27,UgTfFaQ_NAyne5OwLtTpXQ,Bagels & Schmear,bagels-and-schmear-new-york,4.0,504,1.0
28,OtqShhp-cOByPzzdTMZu6w,Knickerbocker Bagel,knickerbocker-bagel-brooklyn,4.0,225,1.0
29,rdgOCFe30sIaAo6tkXkJ-A,Shelsky's of Brooklyn Appetizing & Delicateseen,shelskys-of-brooklyn-appetizing-and-delicateseen-brooklyn,4.0,185,3.0
30,1s95hIhSQhLroVtp-4uOtw,Black Seed Bagels,black-seed-bagels-new-york-9,3.0,696,2.0
31,XKWvRI7WI4LotDLUboUUGA,Barney Greengrass,barney-greengrass-new-york,4.0,748,2.0
32,6XX2Ytf8nYqh8dRhz9Kk_g,Mike's Bagels,mikes-bagels-new-york,4.0,198,1.0
33,PWDSfW-c8198UegLtaTR1A,Russ & Daughters - Brooklyn,russ-and-daughters-brooklyn-brooklyn,3.0,53,2.0
34,S0QgzOvaw5COMRnKWlVGnA,Baz Bagel and Restaurant,baz-bagel-and-restaurant-new-york-2,3.5,385,2.0
35,u_NC3WVKFelz-PGZ7a97AQ,District bagels,district-bagels-new-york,3.0,71,
36,i6UIu3QC2aESANgOR9aycA,Lula Bagel,lula-bagel-brooklyn,4.0,229,1.0
37,l6lg4lqJSkGDFE6Svl5wnw,The Bagel Shop,the-bagel-shop-new-york-2,4.0,120,2.0
38,tRys0z0O4EE8sivXLFZ3kQ,David's Bagels,davids-bagels-new-york,4.0,340,1.0
